s,t,x
0.17057915031909943,0.20390158891677856,0.6190862059593201
0.14307457208633423,-0.17774468660354614,0.31408265233039856
0.19316042959690094,-0.3545483648777008,0.05859968066215515
0.09210062772035599,0.03218429908156395,0.5220216512680054
0.075367271900177,-0.1714993715286255,0.35487744212150574
0.10410753637552261,0.3561832904815674,0.7848193645477295
0.11928743869066238,0.1998075395822525,0.7687544822692871
0.10436605662107468,0.1734105795621872,0.5931664109230042
0.08648568391799927,0.0941881462931633,0.6067625880241394
0.12709593772888184,-0.12185577303171158,0.2517334818840027
0.18319185078144073,0.24251613020896912,0.6734651923179626
0.22591128945350647,-0.22008900344371796,0.10727404057979584
0.1621328443288803,-0.0853036493062973,0.6288145184516907
0.2532145380973816,-0.6822962760925293,-0.3882483243942261
0.1858992576599121,-0.10753633081912994,0.5893816947937012
0.1524612456560135,0.267732173204422,0.6944313645362854
0.15353265404701233,0.19332346320152283,0.6468772292137146
0.133417546749115,0.4291713833808899,0.9829695224761963
0.24429425597190857,0.7480157017707825,1.3849025964736938
0.10184293240308762,-0.3647725582122803,-0.01228758692741394
0.17680811882019043,0.06319472938776016,0.01442331075668335
0.11266016960144043,0.023412952199578285,0.6045461297035217
0.27559372782707214,0.11830610781908035,0.6314053535461426
0.14637111127376556,0.28562647104263306,0.7158797383308411
0.048853058367967606,-0.22141841053962708,0.2367326021194458
0.09892482310533524,-0.20943020284175873,0.2155030518770218
0.19907459616661072,0.05065521225333214,0.36353230476379395
0.2620234489440918,0.3309134840965271,0.9922984838485718
0.060572899878025055,0.21226680278778076,0.7180007696151733
0.27889007329940796,0.2343684732913971,1.1922428607940674
0.21446290612220764,-0.10844578593969345,0.2720488905906677
0.032217178493738174,-0.4668746292591095,0.02625838667154312
0.25968581438064575,-0.07758498936891556,0.08339044451713562
0.10131261497735977,-0.07281173020601273,0.4092179834842682
0.07730215787887573,0.5716535449028015,1.0684739351272583
0.06744775921106339,0.19868455827236176,0.6601995825767517
0.06322238594293594,-0.3364920914173126,0.22057956457138062
0.09902162104845047,-0.10784696042537689,0.3829963505268097
0.07486408203840256,0.2678542733192444,0.7412905693054199
0.2460622489452362,-0.35353541374206543,0.2951514720916748
0.271218478679657,-0.3479064702987671,-0.20064246654510498
0.21324503421783447,-0.11588672548532486,0.18090283870697021
0.07877972722053528,0.34602415561676025,0.8442147374153137
0.07483450323343277,-0.06745555251836777,0.41433560848236084
