obs,df,sig,assymmetry,modelKL,laplace,meanfield
0.0,2.0,0.4000000059604645,2.0,-2.2450225353240967,-0.45743632316589355,-0.9945735931396484
0.0,2.0,0.4000000059604645,2.0,-2.2450225353240967,-0.6253987550735474,-1.0017354488372803
0.0,2.0,0.4000000059604645,2.0,-2.2450225353240967,-0.45743632316589355,-0.9945735931396484
0.0,2.0,0.4000000059604645,2.0,-2.2450225353240967,-0.6253987550735474,-1.0017354488372803
0.0,2.0,0.4000000059604645,2.0,-3.037637948989868,-0.9801532030105591,-2.4090182781219482
0.0,2.0,0.4000000059604645,2.0,-3.037637948989868,-1.389196515083313,-2.561445951461792
0.0,2.0,0.4000000059604645,2.0,-2.835158348083496,-0.7226582765579224,-1.1566410064697266
0.0,2.0,0.4000000059604645,2.0,-2.835158348083496,-0.9385091066360474,-1.2910449504852295
0.0,2.0,0.4000000059604645,2.0,-2.3099942207336426,-0.9460827112197876,-0.8126668930053711
0.0,2.0,0.4000000059604645,2.0,-2.3099942207336426,-0.9238566160202026,-0.825965404510498
0.0,2.0,0.4000000059604645,2.0,-5.2935309410095215,-4.432126522064209,-5.630729675292969
0.0,2.0,0.4000000059604645,2.0,-5.2935309410095215,-4.990433216094971,-4.728870391845703
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.2528306245803833,-3.331022024154663
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.749451756477356,-3.4053637981414795
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.2528306245803833,-3.331022024154663
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.749451756477356,-3.4053637981414795
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.2528306245803833,-3.331022024154663
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.749451756477356,-3.4053637981414795
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.2528306245803833,-3.331022024154663
0.0,2.0,0.4000000059604645,2.0,-3.1903960704803467,-1.749451756477356,-3.4053637981414795
0.0,2.0,0.4000000059604645,2.0,-6.845374584197998,-6.585445880889893,-8.766874313354492
0.0,2.0,0.4000000059604645,2.0,-6.845374584197998,-7.29931116104126,-7.34932804107666
0.0,2.0,0.4000000059604645,2.0,-3.7105064392089844,-1.9458924531936646,-5.2034406661987305
0.0,2.0,0.4000000059604645,2.0,-3.7105064392089844,-2.589383602142334,-5.241582870483398
0.0,2.0,0.4000000059604645,2.0,-3.0842061042785645,-0.9554964303970337,-2.0566418170928955
0.0,2.0,0.4000000059604645,2.0,-3.0842061042785645,-1.3243271112442017,-2.253401279449463
0.0,2.0,0.4000000059604645,2.0,-4.117151737213135,-1.8541549444198608,-3.396162748336792
0.0,2.0,0.4000000059604645,2.0,-4.117151737213135,-2.3772435188293457,-3.857990026473999
0.0,2.0,0.4000000059604645,2.0,-4.117151737213135,-1.8541549444198608,-3.396162748336792
0.0,2.0,0.4000000059604645,2.0,-4.117151737213135,-2.3772435188293457,-3.857990026473999
0.0,2.0,0.4000000059604645,2.0,-3.404669761657715,-1.804430365562439,-4.098196029663086
0.0,2.0,0.4000000059604645,2.0,-3.404669761657715,-2.335202693939209,-3.8543612957000732
0.0,2.0,0.4000000059604645,2.0,-3.2489805221557617,-2.1632275581359863,-1.1212079524993896
0.0,2.0,0.4000000059604645,2.0,-3.2489805221557617,-2.1816558837890625,-1.098149061203003
0.0,2.0,0.4000000059604645,2.0,-2.3538360595703125,-0.8698180913925171,-1.2884087562561035
0.0,2.0,0.4000000059604645,2.0,-2.3538360595703125,-0.6384285688400269,-1.3300189971923828
0.0,2.0,0.4000000059604645,2.0,-2.635322332382202,-0.6043332815170288,-0.7765622138977051
0.0,2.0,0.4000000059604645,2.0,-2.635322332382202,-0.6858688592910767,-0.8261685371398926
0.0,2.0,0.4000000059604645,2.0,-2.5821495056152344,-1.3138924837112427,-1.3346738815307617
0.0,2.0,0.4000000059604645,2.0,-2.5821495056152344,-1.0886374711990356,-1.4742529392242432
0.0,2.0,0.4000000059604645,2.0,-2.5821495056152344,-1.3138924837112427,-1.3346738815307617
0.0,2.0,0.4000000059604645,2.0,-2.5821495056152344,-1.0886374711990356,-1.4742529392242432
0.0,2.0,0.4000000059604645,2.0,-2.1200499534606934,-0.5495996475219727,-0.7801008224487305
0.0,2.0,0.4000000059604645,2.0,-2.1200499534606934,-0.46388018131256104,-0.7900964021682739
0.0,2.0,0.4000000059604645,2.0,-2.4099223613739014,-1.0653883218765259,-1.1546871662139893
0.0,2.0,0.4000000059604645,2.0,-2.4099223613739014,-0.873324990272522,-1.2493400573730469
0.0,2.0,0.4000000059604645,2.0,-2.950965404510498,-1.8409124612808228,-1.3046963214874268
0.0,2.0,0.4000000059604645,2.0,-2.950965404510498,-1.6489707231521606,-1.491950273513794
0.0,2.0,0.4000000059604645,2.0,-2.703749179840088,-1.431195855140686,-1.777008056640625
0.0,2.0,0.4000000059604645,2.0,-2.703749179840088,-1.125867486000061,-1.9387214183807373
0.0,2.0,0.4000000059604645,2.0,-2.379282236099243,-0.6666721105575562,-1.3893120288848877
0.0,2.0,0.4000000059604645,2.0,-2.379282236099243,-0.9080663919448853,-1.3417072296142578
0.0,2.0,0.4000000059604645,2.0,-3.8313026428222656,-1.578773856163025,-1.0661864280700684
0.0,2.0,0.4000000059604645,2.0,-3.8313026428222656,-1.4889081716537476,-0.9615325927734375
0.0,2.0,0.4000000059604645,2.0,-3.309086561203003,-2.2172350883483887,-1.1858768463134766
0.0,2.0,0.4000000059604645,2.0,-3.309086561203003,-2.269566535949707,-1.1191132068634033
0.0,2.0,0.4000000059604645,2.0,-2.118678569793701,-0.4235650300979614,-0.7611820697784424
0.0,2.0,0.4000000059604645,2.0,-2.118678569793701,-0.5009163618087769,-0.7589232921600342
0.0,2.0,0.4000000059604645,2.0,-2.118678569793701,-0.4235650300979614,-0.7611820697784424
0.0,2.0,0.4000000059604645,2.0,-2.118678569793701,-0.5009163618087769,-0.7589232921600342
0.0,2.0,0.4000000059604645,2.0,-5.394928932189941,-4.65614652633667,-1.8066413402557373
0.0,2.0,0.4000000059604645,2.0,-5.394928932189941,-4.718932628631592,-1.6752922534942627
0.0,2.0,0.4000000059604645,2.0,-5.397401809692383,-2.801175594329834,-1.2242369651794434
0.0,2.0,0.4000000059604645,2.0,-5.397401809692383,-2.869490146636963,-1.3353674411773682
0.0,2.0,0.4000000059604645,2.0,-2.438048839569092,-1.136163592338562,-0.8567607402801514
0.0,2.0,0.4000000059604645,2.0,-2.438048839569092,-1.106943964958191,-0.8778998851776123
0.0,2.0,0.4000000059604645,2.0,-2.8026700019836426,-1.628555417060852,-1.450650691986084
0.0,2.0,0.4000000059604645,2.0,-2.8026700019836426,-1.390717625617981,-1.6404426097869873
0.0,2.0,0.4000000059604645,2.0,-4.1140055656433105,-2.1499390602111816,-2.7705771923065186
0.0,2.0,0.4000000059604645,2.0,-4.1140055656433105,-1.7434443235397339,-2.3436546325683594
0.0,2.0,0.4000000059604645,2.0,-3.1357204914093018,-2.058518409729004,-2.0008552074432373
0.0,2.0,0.4000000059604645,2.0,-3.1357204914093018,-1.7359462976455688,-2.287003517150879
0.0,2.0,0.4000000059604645,2.0,-3.1357204914093018,-2.058518409729004,-2.0008552074432373
0.0,2.0,0.4000000059604645,2.0,-3.1357204914093018,-1.7359462976455688,-2.287003517150879
0.0,2.0,0.4000000059604645,2.0,-3.1357204914093018,-2.058518409729004,-2.0008552074432373
0.0,2.0,0.4000000059604645,2.0,-3.1357204914093018,-1.7359462976455688,-2.287003517150879
0.0,2.0,0.4000000059604645,2.0,-4.130523681640625,-2.0991764068603516,-2.4447290897369385
0.0,2.0,0.4000000059604645,2.0,-4.130523681640625,-1.7351475954055786,-2.042954206466675
0.0,2.0,0.4000000059604645,2.0,-2.960697650909424,-1.0616475343704224,-1.4788296222686768
0.0,2.0,0.4000000059604645,2.0,-2.960697650909424,-0.8119372129440308,-1.31380033493042
0.0,2.0,0.4000000059604645,2.0,-2.960697650909424,-1.0616475343704224,-1.4788296222686768
0.0,2.0,0.4000000059604645,2.0,-2.960697650909424,-0.8119372129440308,-1.31380033493042
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.7089239358901978,-0.8720541000366211
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.590239405632019,-0.9055860042572021
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.7089239358901978,-0.8720541000366211
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.590239405632019,-0.9055860042572021
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.7089239358901978,-0.8720541000366211
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.590239405632019,-0.9055860042572021
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.7089239358901978,-0.8720541000366211
0.0,2.0,0.4000000059604645,2.0,-2.1843156814575195,-0.590239405632019,-0.9055860042572021
